lat,long
43.0499,-76.1506
38.7439,-121.2587
,
32.9331,-96.6213
,
,
32.5679,-97.1305
,
,
41.7126,-90.2832
28.5446,-81.3745
36.4486,-84.3318
63.3330,-170.2711
44.6687,-90.1714
44.1307,-93.9938
,
37.2546,-95.7832
41.85,-87.65
34.6909,-90.3856
37.3326,-80.9702
42.3283,-89.1475
,
,
33.1959,-117.3789
,
,
38.5819,-121.4935
40.1968,-76.0176
32.4649,-84.9779
33.4432,-111.8553
,
40.4805,-124.1455
37.6923,-97.3374
40.9157,-73.7829
,
42.2336,-75.8993
,
35.6463,-96.0328
,
44.0838,-92.7386
47.6177,-122.2108
61.6060,-148.9098
37.3435,-121.8887
,
,
44.5206,-92.3350
33.6020,-112.2863
40.6247,-122.4659
40.7566,-111.9012
35.9003,-92.2487
41.1533,-80.4484
,
41.2198,-79.3531
28.1077,-80.5806
38.8551,-89.9482
37.6235,-79.0923
35.0846,-106.6516
,
33.4486,-112.0733
,
34.1782,-87.9766
,
40.7566,-111.9012
37.3326,-80.9702
,
47.4212,-119.4374
45.9402,-122.5960
47.9961,-123.3828
43.4739,-71.2325
41.5372,-72.7794
40.6856,-81.2625
44.5633,-87.7113
35.1397,-84.1036
38.4818,-82.6588
39.7393,-104.9844
37.2709,-79.9418
,
41.5345,-88.2228
38.7901,-93.7235
,
,
42.3459,-75.1486
,
,
34.4262,-117.5716
37.0690,-122.1569
35.1363,-97.2771
35.9985,-114.9589
,
,
41.6334,-74.3317
,
,
,
,
,
,
33.7886,-117.9277
40.3990,-74.0411
,
26.4571,-80.0796
,
,
27.5588,-82.3272
,
29.7591,-81.8559
39.8598,-83.9274
,
,
38.4534,-122.7814
,
34.7698,-84.9703
29.4728,-98.5356
46.4849,-109.8696
32.2179,-110.9686
32.8039,-89.5142
33.7654,-78.7957
36.4954,-119.2833
41.7689,-88.1351
39.5979,-105.0147
34.2134,-79.8206
40.3352,-80.5795
,
42.8500,-97.9635
40.2213,-111.7387
34.7333,-118.1492
,
37.6982,-120.1047
,
33.3122,-83.9799
35.5393,-92.2954
35.2287,-80.8458
,
39.9711,-76.5220
,
29.8785,-98.0200
41.7000,-72.5504
42.3651,-85.8560
41.7000,-72.5504
43.2555,-70.8830
40.3135,-74.2572
,
44.0311,-84.8462
,
36.2250,-81.6569
43.3243,-77.9255
31.7630,-106.4856
33.2627,-116.6486
35.4678,-97.5164
33.7789,-118.2593
42.4291,-99.8183
,
34.1493,-116.2821
30.2979,-94.9051
,
39.3365,-84.4136
32.7449,-116.9981
43.4340,-124.0208
,
37.3435,-121.8887
,
,
36.6613,-90.8850
25.9808,-80.1486
46.9678,-91.7837
40.0747,-74.8342
41.7000,-72.5504
39.7393,-104.9844
,
39.9493,-74.0818
,
44.8980,-72.7948
34.5638,-98.2821
39.6852,-82.6080
26.9369,-80.1354
,
43.5980,-116.6102
43.6948,-122.9761
47.3078,-122.3112
39.0438,-77.4879
39.5685,-106.4310
38.2545,-85.7595
36.3061,-119.6321
32.7104,-93.6427
37.5539,-77.4608
,
32.5041,-90.0920
,
32.2618,-96.3759
47.4511,-122.1963
41.8934,-70.9117
,
35.1560,-120.3652
39.4534,-83.8242
39.7854,-75.0500
36.1537,-95.9926
45.8808,-87.1059
,
44.7832,-85.7249
42.6073,-74.1783
41.85,-87.65
40.0929,-74.7414
31.3241,-82.2464
36.0648,-121.5493
38.5819,-121.4935
43.6139,-116.2025
33.9736,-118.2479
33.4432,-111.8553
36.1660,-86.7732
40.8395,-73.2806
,
40.7508,-73.9961
,
40.7508,-73.9961
42.7318,-89.6282
46.9177,-96.3054
,
35.5901,-82.5582
,
,
,
40.7566,-111.9012
30.2197,-97.7473
32.7199,-117.1805
37.9719,-122.5044
34.3360,-86.3102
28.6815,-81.2761
,
,
47.3744,-122.7162
39.9525,-75.1644
34.0017,-83.3508
34.1173,-117.8465
33.4652,-104.4145
34.1173,-117.8465
36.5836,-121.8369
40.3281,-78.9105
43.0499,-76.1506
,
37.6235,-79.0923
,
36.1736,-115.1264
,
,
35.7332,-81.5812
33.7486,-84.3884
34.7756,-76.8859
25.7738,-80.1936
25.7738,-80.1936
,
37.7702,-84.3073
24.6004,-81.8579
36.4053,-97.8187
29.4209,-97.1472
,
41.2790,-73.5981
,
,
,
33.4486,-112.0733
,
,
,
42.2731,-74.2811
,
39.2954,-76.6239
47.5162,-111.2777
,
42.6348,-88.2766
,
32.8199,-83.6184
,
60.4919,-143.8104
,
,
31.5861,-110.1729
,
,
,
35.0663,-78.8893
41.7849,-85.8575
38.9412,-76.9354
37.8529,-82.7390
37.8529,-82.7390
29.4728,-98.5356
,
,
44.0778,-123.0436
,
41.1518,-97.9921
,
26.0196,-80.1236
37.5566,-120.9641
26.5742,-81.9439
